iloc,x,y,z,t
0,1.0,0.0,0,1800
0,1.0,0.0,0,3600
0,1.0,0.0,0,5400
0,1.0,0.0,0,7200
0,1.0,0.0,0,9000
0,1.0,0.0,0,10800
1,1.0,0.635606851984801,0,1800
1,1.0,0.635606851984801,0,3600
1,1.0,0.635606851984801,0,5400
1,1.0,0.635606851984801,0,7200
1,1.0,0.635606851984801,0,9000
1,1.0,0.635606851984801,0,10800
2,1.0,1.271213703969602,0,1800
2,1.0,1.271213703969602,0,3600
2,1.0,1.271213703969602,0,5400
2,1.0,1.271213703969602,0,7200
2,1.0,1.271213703969602,0,9000
2,1.0,1.271213703969602,0,10800
3,1.0,1.9068205559544031,0,1800
3,1.0,1.9068205559544031,0,3600
3,1.0,1.9068205559544031,0,5400
3,1.0,1.9068205559544031,0,7200
3,1.0,1.9068205559544031,0,9000
3,1.0,1.9068205559544031,0,10800
4,1.0,2.542427407939204,0,1800
4,1.0,2.542427407939204,0,3600
4,1.0,2.542427407939204,0,5400
4,1.0,2.542427407939204,0,7200
4,1.0,2.542427407939204,0,9000
4,1.0,2.542427407939204,0,10800
5,1.0,3.1780342599240052,0,1800
5,1.0,3.1780342599240052,0,3600
5,1.0,3.1780342599240052,0,5400
5,1.0,3.1780342599240052,0,7200
5,1.0,3.1780342599240052,0,9000
5,1.0,3.1780342599240052,0,10800
6,1.0,3.8136411119088063,0,1800
6,1.0,3.8136411119088063,0,3600
6,1.0,3.8136411119088063,0,5400
6,1.0,3.8136411119088063,0,7200
6,1.0,3.8136411119088063,0,9000
6,1.0,3.8136411119088063,0,10800
7,1.2589254117941673,0.0,0,1800
7,1.2589254117941673,0.0,0,3600
7,1.2589254117941673,0.0,0,5400
7,1.2589254117941673,0.0,0,7200
7,1.2589254117941673,0.0,0,9000
7,1.2589254117941673,0.0,0,10800
8,1.2589254117941673,0.8177580058248389,0,1800
8,1.2589254117941673,0.8177580058248389,0,3600
8,1.2589254117941673,0.8177580058248389,0,5400
8,1.2589254117941673,0.8177580058248389,0,7200
8,1.2589254117941673,0.8177580058248389,0,9000
8,1.2589254117941673,0.8177580058248389,0,10800
9,1.2589254117941673,1.6355160116496779,0,1800
9,1.2589254117941673,1.6355160116496779,0,3600
9,1.2589254117941673,1.6355160116496779,0,5400
9,1.2589254117941673,1.6355160116496779,0,7200
9,1.2589254117941673,1.6355160116496779,0,9000
9,1.2589254117941673,1.6355160116496779,0,10800
10,1.2589254117941673,2.453274017474517,0,1800
10,1.2589254117941673,2.453274017474517,0,3600
10,1.2589254117941673,2.453274017474517,0,5400
10,1.2589254117941673,2.453274017474517,0,7200
10,1.2589254117941673,2.453274017474517,0,9000
10,1.2589254117941673,2.453274017474517,0,10800
11,1.2589254117941673,3.2710320232993557,0,1800
11,1.2589254117941673,3.2710320232993557,0,3600
11,1.2589254117941673,3.2710320232993557,0,5400
11,1.2589254117941673,3.2710320232993557,0,7200
