case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
6,3,12,1,0,0,3600,1115.18,1.42359,2.03,0.204326,3.90492,0.196523,0,7.67408e+07,4.35138412e+03,0.00000000e+00,4.85257654e+06,4.85257654e+06,
6,3,1.20000000e+01,1.00000000e+00,3.61262926e-01,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.42359312e+00,2.02999878e+00,2.04325644e-01,3.90491857e+00,1.93435925e-01,0.00000000e+00,7.55351538e+07,4.28302151e+03,0.00000000e+00,4.77633993e+06,4.77633993e+06,
6,3,1.20000000e+01,1.00000000e+00,7.22525853e-01,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.42359312e+00,2.02999878e+00,2.04325644e-01,3.90491857e+00,1.84461457e-01,0.00000000e+00,7.20306971e+07,4.08431054e+03,0.00000000e+00,4.55474143e+06,4.55474143e+06,
6,3,1.20000000e+01,1.00000000e+00,1.08378878e+00,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.42359312e+00,2.02999878e+00,2.04325644e-01,3.90491857e+00,1.70419701e-01,0.00000000e+00,6.65475055e+07,3.77340064e+03,0.00000000e+00,4.20802092e+06,4.20802092e+06,
6,3,1.20000000e+01,1.00000000e+00,1.44505171e+00,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.42359312e+00,2.02999878e+00,2.04325644e-01,3.90491857e+00,1.52538557e-01,0.00000000e+00,5.95650646e+07,3.37747976e+03,0.00000000e+00,3.76649788e+06,3.76649788e+06,
6,3,1.20000000e+01,1.00000000e+00,1.80631463e+00,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.42359312e+00,2.02999878e+00,2.04325644e-01,3.90491857e+00,1.32277245e-01,0.00000000e+00,5.16531870e+07,2.92885763e+03,0.00000000e+00,3.26620345e+06,3.26620345e+06,
6,3,1.20000000e+01,1.00000000e+00,2.16757756e+00,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.42359312e+00,2.02999878e+00,2.04325644e-01,3.90491857e+00,1.11131273e-01,0.00000000e+00,4.33958570e+07,2.46064752e+03,0.00000000e+00,2.74406491e+06,2.74406491e+06,
6,3,1.20000000e+01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.56089795e+00,2.76899468e+00,3.58150221e-01,2.22778439e+00,1.44074777e-01,0.00000000e+00,3.20967539e+07,2.19759083e+03,0.00000000e+00,2.45070934e+06,2.45070934e+06,
6,3,1.20000000e+01,2.15443469e+00,7.79961481e-01,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.56089795e+00,2.76899468e+00,3.58150221e-01,2.22778439e+00,1.38471087e-01,0.00000000e+00,3.08483726e+07,2.11211704e+03,0.00000000e+00,2.35539068e+06,2.35539068e+06,
6,3,1.20000000e+01,2.15443469e+00,1.55992296e+00,0.00000000e+00,3.60000000e+03,1.11518000e+03,1.56089795e+00,2.76899468e+00,3.58150221e-01,2.22778439e+00,1.22934150e-01,0.00000000e+00,2.73870780e+07,1.87513016e+03,0.00000000e+00,2.09110766e+06,2.09110766e+06,
