case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
2,3,0.8,1,0,0,3600,4235.14,1.42359,2.1859,0.121272,6.57909,0.182507,0,1.20073e+08,2.68915396e+04,2.68915396e+04,1.13889435e+08,9.67562698e+07,
2,3,8.00000000e-01,1.00000000e+00,5.98852033e-01,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.42359312e+00,2.18589626e+00,1.21271784e-01,6.57908562e+00,1.75785291e-01,0.00000000e+00,1.15650648e+08,2.59010678e+04,2.59010678e+04,1.09694648e+08,9.31925334e+07,
2,3,8.00000000e-01,1.00000000e+00,1.19770407e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.42359312e+00,2.18589626e+00,1.21271784e-01,6.57908562e+00,1.57068297e-01,0.00000000e+00,1.03336578e+08,2.31432140e+04,2.31432140e+04,9.80147515e+07,8.32697233e+07,
2,3,8.00000000e-01,1.00000000e+00,1.79655610e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.42359312e+00,2.18589626e+00,1.21271784e-01,6.57908562e+00,1.30196270e-01,0.00000000e+00,8.56572407e+07,1.91837576e+04,1.91837576e+04,8.12458991e+07,6.90235238e+07,
2,3,8.00000000e-01,1.00000000e+00,2.39540813e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.42359312e+00,2.18589626e+00,1.21271784e-01,6.57908562e+00,1.00118089e-01,0.00000000e+00,6.58685477e+07,1.47518907e+04,1.47518907e+04,6.24763224e+07,5.30775827e+07,
2,3,8.00000000e-01,1.00000000e+00,2.99426016e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.42359312e+00,2.18589626e+00,1.21271784e-01,6.57908562e+00,7.14217621e-02,0.00000000e+00,4.69889888e+07,1.05236331e+04,1.05236331e+04,4.45690593e+07,3.78642315e+07,
2,3,8.00000000e-01,1.00000000e+00,3.59311220e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.42359312e+00,2.18589626e+00,1.21271784e-01,6.57908562e+00,4.72664052e-02,0.00000000e+00,3.10969727e+07,6.96446419e+03,6.96446419e+03,2.94954809e+07,2.50582743e+07,
2,3,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.56089795e+00,3.13574819e+00,1.44940496e-01,5.50478029e+00,1.27223957e-01,0.00000000e+00,7.00339928e+07,1.89392628e+04,1.89392628e+04,8.02104293e+07,6.81241350e+07,
2,3,8.00000000e-01,2.15443469e+00,1.11092163e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.56089795e+00,3.13574819e+00,1.44940496e-01,5.50478029e+00,1.19485268e-01,0.00000000e+00,6.57740146e+07,1.77872387e+04,1.77872387e+04,7.53314460e+07,6.39803282e+07,
2,3,8.00000000e-01,2.15443469e+00,2.22184325e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.56089795e+00,3.13574819e+00,1.44940496e-01,5.50478029e+00,9.89807522e-02,0.00000000e+00,5.44867294e+07,1.47348229e+04,1.47348229e+04,6.24040380e+07,5.30008523e+07,
2,3,8.00000000e-01,2.15443469e+00,3.33276488e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.56089795e+00,3.13574819e+00,1.44940496e-01,5.50478029e+00,7.23232719e-02,0.00000000e+00,3.98123722e+07,1.07664428e+04,1.07664428e+04,4.55973925e+07,3.87266712e+07,
2,3,8.00000000e-01,2.15443469e+00,4.44368651e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.56089795e+00,3.13574819e+00,1.44940496e-01,5.50478029e+00,4.66118464e-02,0.00000000e+00,2.56587973e+07,6.93889760e+03,6.93889760e+03,2.93872028e+07,2.49590706e+07,
2,3,8.00000000e-01,2.15443469e+00,5.55460813e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.56089795e+00,3.13574819e+00,1.44940496e-01,5.50478029e+00,2.64975350e-02,0.00000000e+00,1.45863108e+07,3.94456981e+03,3.94456981e+03,1.67058054e+07,1.41885357e+07,
2,3,8.00000000e-01,2.15443469e+00,6.66552976e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.56089795e+00,3.13574819e+00,1.44940496e-01,5.50478029e+00,1.32863463e-02,0.00000000e+00,7.31384174e+06,1.97787910e+03,1.97787910e+03,8.37659487e+06,7.11439005e+06,
2,3,8.00000000e-01,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,4.23514000e+03,1.85372023e+00,5.86423262e+00,1.93568660e-01,4.12191678e+00,6.80297522e-02,0.00000000e+00,2.80412977e+07,8.22555264e+03,8.22555264e+03,3.48363670e+07,2.95639321e+07,
