case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
24,0,0.8,1,0,0,3600,1800,1.59538,1.59538,0.136905,5.82787,0.250061,6.43118e-310,2.62318e+07,9.91259038e+03,0.00000000e+00,1.78426627e+07,1.95138558e+07,
24,0,8.00000000e-01,1.00000000e+00,7.97691162e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,2.20677721e-01,6.43117860e-310,2.31494723e+07,8.74783031e+03,0.00000000e+00,1.57460946e+07,1.72209173e+07,
24,0,8.00000000e-01,1.00000000e+00,1.59538232e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,1.51669431e-01,6.43117860e-310,1.59103841e+07,6.01228998e+03,0.00000000e+00,1.08221220e+07,1.18357518e+07,
24,0,8.00000000e-01,1.00000000e+00,2.39307349e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,8.11827966e-02,6.43117860e-310,8.51621494e+06,3.21814692e+03,0.00000000e+00,5.79266446e+06,6.33522143e+06,
24,0,8.00000000e-01,1.00000000e+00,3.19076465e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,3.38420245e-02,6.43117860e-310,3.55008656e+06,1.34152323e+03,0.00000000e+00,2.41474181e+06,2.64091320e+06,
24,0,8.00000000e-01,1.00000000e+00,3.98845581e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,1.09868968e-02,6.43117860e-310,1.15254436e+06,4.35528826e+02,0.00000000e+00,7.83951886e+05,8.57378986e+05,
24,0,8.00000000e-01,1.00000000e+00,4.78614697e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59538233e+00,1.59538233e+00,1.36904702e-01,5.82787330e+00,2.77792254e-03,6.43117860e-310,2.91408850e+05,1.10118932e+02,0.00000000e+00,1.98214078e+05,2.16779356e+05,
24,0,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,1.79144598e-01,6.43117860e-310,8.74513601e+06,3.74880029e+03,0.00000000e+00,6.74784052e+06,7.09771285e+06,
24,0,8.00000000e-01,2.15443469e+00,1.11346447e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,1.58094553e-01,6.43117860e-310,7.71755544e+06,3.30830465e+03,0.00000000e+00,5.95494836e+06,6.26370961e+06,
24,0,8.00000000e-01,2.15443469e+00,2.22692894e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,1.08656691e-01,6.43117860e-310,5.30419312e+06,2.27376231e+03,0.00000000e+00,4.09277216e+06,4.30498046e+06,
24,0,8.00000000e-01,2.15443469e+00,3.34039341e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,5.81597358e-02,6.43117860e-310,2.83912998e+06,1.21705726e+03,0.00000000e+00,2.19070308e+06,2.30428999e+06,
24,0,8.00000000e-01,2.15443469e+00,4.45385788e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,2.42445849e-02,6.43117860e-310,1.18352546e+06,5.07344949e+02,0.00000000e+00,9.13220908e+05,9.60570979e+05,
24,0,8.00000000e-01,2.15443469e+00,5.56732235e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,7.87106432e-03,6.43117860e-310,3.84234461e+05,1.64710790e+02,0.00000000e+00,2.96479421e+05,3.11851739e+05,
24,0,8.00000000e-01,2.15443469e+00,6.68078681e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.22692895e+00,2.22692895e+00,2.94203073e-01,2.71200413e+00,1.99011672e-03,6.43117860e-310,9.71496857e+04,4.16454095e+01,0.00000000e+00,7.49617370e+04,7.88484675e+04,
24,0,8.00000000e-01,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.04576921e+00,4.04576921e+00,6.66888714e-01,1.19642699e+00,9.86072785e-02,6.43117860e-310,2.12357537e+06,9.55133645e+02,0.00000000e+00,1.71924056e+06,1.78328613e+06,
24,0,8.00000000e-01,4.64158883e+00,2.02288472e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.04576921e+00,4.04576921e+00,6.66888714e-01,1.19642699e+00,8.70206179e-02,6.43117860e-310,1.87404869e+06,8.42902484e+02,0.00000000e+00,1.51722447e+06,1.57374449e+06,
24,0,8.00000000e-01,4.64158883e+00,4.04576944e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.04576921e+00,4.04576921e+00,6.66888714e-01,1.19642699e+00,5.98083377e-02,6.43117860e-310,1.28801357e+06,5.79317840e+02,0.00000000e+00,1.04277211e+06,1.08161771e+06,
24,0,8.00000000e-01,4.64158883e+00,6.06865416e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.04576921e+00,4.04576921e+00,6.66888714e-01,1.19642699e+00,3.20130905e-02,6.43117860e-310,6.89423861e+05,3.10086439e+02,0.00000000e+00,5.58155591e+05,5.78948139e+05,
24,0,8.00000000e-01,4.64158883e+00,8.09153888e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.04576921e+00,4.04576921e+00,6.66888714e-01,1.19642699e+00,1.33450440e-02,6.43117860e-310,2.87394674e+05,1.29263282e+02,0.00000000e+00,2.32673908e+05,2.41341534e+05,
24,0,8.00000000e-01,4.64158883e+00,1.01144236e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.04576921e+00,4.04576921e+00,6.66888714e-01,1.19642699e+00,4.33249887e-03,6.43117860e-310,9.33033345e+04,4.19656186e+01,0.00000000e+00,7.55381134e+04,7.83520776e+04,
24,0,8.00000000e-01,4.64158883e+00,1.21373083e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,4.04576921e+00,4.04576921e+00,6.66888714e-01,1.19642699e+00,1.09542713e-03,6.43117860e-310,2.35907746e+04,1.06105688e+01,0.00000000e+00,1.90990238e+04,1.98105053e+04,
24,0,8.00000000e-01,1.00000000e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,9.56641102e+00,9.56641102e+00,1.59454525e+00,5.00383680e-01,4.17023993e-02,6.43117860e-310,3.75609600e+05,1.64631269e+02,0.00000000e+00,2.96336284e+05,3.09675271e+05,
24,0,8.00000000e-01,1.00000000e+01,4.78320608e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,9.56641102e+00,9.56641102e+00,1.59454525e+00,5.00383680e-01,3.68022371e-02,6.43117860e-310,3.31474299e+05,1.45286581e+02,0.00000000e+00,2.61515845e+05,2.73287460e+05,
24,0,8.00000000e-01,1.00000000e+01,9.56641217e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,9.56641102e+00,9.56641102e+00,1.59454525e+00,5.00383680e-01,2.52937807e-02,6.43117860e-310,2.27818711e+05,9.98539003e+01,0.00000000e+00,1.79737021e+05,1.87827524e+05,
