case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
4,3,9.6,1,0,0,3600,864.766,1.95648,1.95648,0.194585,4.10039,0.203908,6.22912e-310,8.36104e+07,7.00332926e+03,0.00000000e+00,6.05624103e+06,6.05624103e+06,
4,3,9.60000000e+00,1.00000000e+00,4.19351086e-01,0.00000000e+00,3.60000000e+03,8.64766000e+02,1.95647991e+00,1.95647991e+00,1.94584757e-01,4.10039314e+00,1.99277665e-01,6.22911864e-310,8.17116770e+07,6.84429129e+03,0.00000000e+00,5.91871040e+06,5.91871040e+06,
4,3,9.60000000e+00,1.00000000e+00,8.38702172e-01,0.00000000e+00,3.60000000e+03,8.64766000e+02,1.95647991e+00,1.95647991e+00,1.94584757e-01,4.10039314e+00,1.86007495e-01,6.22911864e-310,7.62703855e+07,6.38852064e+03,0.00000000e+00,5.52457544e+06,5.52457544e+06,
4,3,9.60000000e+00,1.00000000e+00,1.25805326e+00,0.00000000e+00,3.60000000e+03,8.64766000e+02,1.95647991e+00,1.95647991e+00,1.94584757e-01,4.10039314e+00,1.65825054e-01,6.22911864e-310,6.79947915e+07,5.69534461e+03,0.00000000e+00,4.92514038e+06,4.92514038e+06,
4,3,9.60000000e+00,1.00000000e+00,1.67740434e+00,0.00000000e+00,3.60000000e+03,8.64766000e+02,1.95647991e+00,1.95647991e+00,1.94584757e-01,4.10039314e+00,1.41194479e-01,6.22911864e-310,5.78952873e+07,4.84939515e+03,0.00000000e+00,4.19359205e+06,4.19359205e+06,
4,3,9.60000000e+00,1.00000000e+00,2.09675543e+00,0.00000000e+00,3.60000000e+03,8.64766000e+02,1.95647991e+00,1.95647991e+00,1.94584757e-01,4.10039314e+00,1.14824128e-01,6.22911864e-310,4.70824065e+07,3.94369222e+03,0.00000000e+00,3.41037095e+06,3.41037095e+06,
4,3,9.60000000e+00,1.00000000e+00,2.51610652e+00,0.00000000e+00,3.60000000e+03,8.64766000e+02,1.95647991e+00,1.95647991e+00,1.94584757e-01,4.10039314e+00,8.91859688e-02,6.22911864e-310,3.65697534e+07,3.06313680e+03,0.00000000e+00,2.64889656e+06,2.64889656e+06,
4,3,9.60000000e+00,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,8.64766000e+02,2.66892433e+00,2.66892433e+00,3.41859668e-01,2.33394346e+00,1.49476809e-01,6.22911864e-310,3.48870420e+07,3.32085115e+03,0.00000000e+00,2.87175916e+06,2.87175916e+06,
4,3,9.60000000e+00,2.15443469e+00,8.13626953e-01,0.00000000e+00,3.60000000e+03,8.64766000e+02,2.66892433e+00,2.66892433e+00,3.41859668e-01,2.33394346e+00,1.42689920e-01,6.22911864e-310,3.33030204e+07,3.17007024e+03,0.00000000e+00,2.74136896e+06,2.74136896e+06,
4,3,9.60000000e+00,2.15443469e+00,1.62725391e+00,0.00000000e+00,3.60000000e+03,8.64766000e+02,2.66892433e+00,2.66892433e+00,3.41859668e-01,2.33394346e+00,1.24122845e-01,6.22911864e-310,2.89695702e+07,2.75757488e+03,0.00000000e+00,2.38465699e+06,2.38465699e+06,
